Size,Automata Name,Accuracy
1,aut_1.pkl,0.9992499947547913
1,aut_10.pkl,0.9767500162124634
1,aut_100.pkl,1.0
1,aut_11.pkl,0.9797499775886536
1,aut_12.pkl,0.9815000295639038
1,aut_13.pkl,1.0
1,aut_14.pkl,0.9919999837875366
1,aut_15.pkl,0.9802500009536743
1,aut_16.pkl,0.9994999766349792
1,aut_17.pkl,0.9712499976158142
1,aut_18.pkl,0.9904999732971191
1,aut_19.pkl,0.9927499890327454
1,aut_2.pkl,0.9994999766349792
1,aut_20.pkl,0.9962499737739563
1,aut_21.pkl,1.0
1,aut_22.pkl,0.9869999885559082
1,aut_23.pkl,1.0
1,aut_24.pkl,1.0
1,aut_25.pkl,0.9990000128746033
1,aut_26.pkl,0.9992499947547913
1,aut_27.pkl,1.0
1,aut_28.pkl,1.0
1,aut_29.pkl,1.0
1,aut_3.pkl,0.9934999942779541
1,aut_30.pkl,0.996999979019165
1,aut_31.pkl,0.9767500162124634
1,aut_32.pkl,0.9927499890327454
1,aut_33.pkl,0.9965000152587891
1,aut_34.pkl,0.9987499713897705
1,aut_35.pkl,1.0
1,aut_36.pkl,1.0
1,aut_37.pkl,0.999750018119812
1,aut_38.pkl,0.9990000128746033
1,aut_39.pkl,0.9934999942779541
1,aut_4.pkl,0.9994999766349792
1,aut_40.pkl,0.999750018119812
1,aut_41.pkl,0.9950000047683716
1,aut_42.pkl,0.9992499947547913
1,aut_43.pkl,0.9857500195503235
1,aut_44.pkl,0.9987499713897705
1,aut_45.pkl,0.999750018119812
1,aut_46.pkl,1.0
1,aut_47.pkl,0.9667500257492065
1,aut_48.pkl,0.999750018119812
1,aut_49.pkl,1.0
1,aut_5.pkl,0.9940000176429749
1,aut_50.pkl,1.0
1,aut_51.pkl,0.9980000257492065
1,aut_52.pkl,0.9902499914169312
1,aut_53.pkl,0.999750018119812
1,aut_54.pkl,0.999750018119812
1,aut_55.pkl,1.0
1,aut_56.pkl,1.0
1,aut_57.pkl,0.996749997138977
1,aut_58.pkl,0.996749997138977
1,aut_59.pkl,0.9937499761581421
1,aut_6.pkl,0.9894999861717224
1,aut_60.pkl,0.9660000205039978
1,aut_61.pkl,0.996749997138977
1,aut_62.pkl,0.9984999895095825
1,aut_63.pkl,0.999750018119812
1,aut_64.pkl,0.9887499809265137
1,aut_65.pkl,0.9884999990463257
1,aut_66.pkl,0.9672499895095825
1,aut_67.pkl,0.9725000262260437
1,aut_68.pkl,0.9950000047683716
1,aut_69.pkl,0.996999979019165
1,aut_7.pkl,0.9882500171661377
1,aut_70.pkl,0.9742500185966492
1,aut_71.pkl,0.9955000281333923
1,aut_72.pkl,1.0
1,aut_73.pkl,0.9835000038146973
1,aut_74.pkl,1.0
1,aut_75.pkl,0.9732499718666077
1,aut_76.pkl,0.9957500100135803
1,aut_77.pkl,1.0
1,aut_78.pkl,0.9777500033378601
1,aut_79.pkl,0.9990000128746033
1,aut_8.pkl,0.9992499947547913
1,aut_80.pkl,0.999750018119812
1,aut_81.pkl,0.9962499737739563
1,aut_82.pkl,1.0
1,aut_83.pkl,0.999750018119812
1,aut_84.pkl,0.9972500205039978
1,aut_85.pkl,0.984250009059906
1,aut_86.pkl,0.9994999766349792
1,aut_87.pkl,0.999750018119812
1,aut_88.pkl,0.9947500228881836
1,aut_89.pkl,0.9865000247955322
1,aut_9.pkl,0.996999979019165
1,aut_90.pkl,0.9772499799728394
1,aut_91.pkl,0.9677500128746033
1,aut_92.pkl,0.9810000061988831
1,aut_93.pkl,0.9994999766349792
1,aut_94.pkl,1.0
1,aut_95.pkl,0.9934999942779541
1,aut_96.pkl,0.999750018119812
1,aut_97.pkl,1.0
1,aut_98.pkl,0.9962499737739563
1,aut_99.pkl,0.9955000281333923
2,aut_1.pkl,0.9987499713897705
2,aut_10.pkl,0.7764999866485596
2,aut_100.pkl,0.815500020980835
2,aut_11.pkl,0.9679999947547913
2,aut_12.pkl,0.9944999814033508
2,aut_13.pkl,1.0
2,aut_14.pkl,0.734499990940094
2,aut_15.pkl,1.0
2,aut_16.pkl,0.7557500004768372
2,aut_17.pkl,0.987500011920929
2,aut_18.pkl,0.7369999885559082
2,aut_19.pkl,0.8209999799728394
2,aut_2.pkl,0.8207499980926514
2,aut_20.pkl,0.7369999885559082
2,aut_21.pkl,1.0
2,aut_22.pkl,0.7847499847412109
2,aut_23.pkl,0.749750018119812
2,aut_24.pkl,0.7394999861717224
2,aut_25.pkl,0.8090000152587891
2,aut_26.pkl,0.9975000023841858
2,aut_27.pkl,0.996999979019165
2,aut_28.pkl,0.7237499952316284
2,aut_29.pkl,0.9955000281333923
2,aut_3.pkl,0.9865000247955322
2,aut_30.pkl,0.746749997138977
2,aut_31.pkl,0.7724999785423279
2,aut_32.pkl,0.9937499761581421
2,aut_33.pkl,0.981249988079071
2,aut_34.pkl,1.0
2,aut_35.pkl,0.7192500233650208
2,aut_36.pkl,0.8054999709129333
2,aut_37.pkl,0.7404999732971191
2,aut_38.pkl,0.9965000152587891
2,aut_39.pkl,0.731249988079071
2,aut_4.pkl,0.7637500166893005
2,aut_40.pkl,0.9599999785423279
2,aut_41.pkl,1.0
2,aut_42.pkl,0.7537500262260437
2,aut_43.pkl,0.721750020980835
2,aut_44.pkl,0.996999979019165
2,aut_45.pkl,0.7459999918937683
2,aut_46.pkl,0.9760000109672546
2,aut_47.pkl,0.7459999918937683
2,aut_48.pkl,0.746749997138977
2,aut_49.pkl,0.7870000004768372
2,aut_5.pkl,0.9470000267028809
2,aut_50.pkl,0.9789999723434448
2,aut_51.pkl,0.999750018119812
2,aut_52.pkl,0.9942499995231628
2,aut_53.pkl,0.7609999775886536
2,aut_54.pkl,0.7672500014305115
2,aut_55.pkl,0.9779999852180481
2,aut_56.pkl,0.7792500257492065
2,aut_57.pkl,0.996749997138977
2,aut_58.pkl,0.9775000214576721
2,aut_59.pkl,0.7422500252723694
2,aut_6.pkl,0.7925000190734863
2,aut_60.pkl,0.9782500267028809
2,aut_61.pkl,0.7757499814033508
2,aut_62.pkl,0.7494999766349792
2,aut_63.pkl,0.7390000224113464
2,aut_64.pkl,0.8215000033378601
2,aut_65.pkl,0.7302500009536743
2,aut_66.pkl,0.7492499947547913
2,aut_67.pkl,0.8077499866485596
2,aut_68.pkl,0.7632499933242798
2,aut_69.pkl,0.9542499780654907
2,aut_7.pkl,1.0
2,aut_70.pkl,0.9972500205039978
2,aut_71.pkl,0.8460000157356262
2,aut_72.pkl,0.7975000143051147
2,aut_73.pkl,0.996999979019165
2,aut_74.pkl,1.0
2,aut_75.pkl,0.9955000281333923
2,aut_76.pkl,0.8022500276565552
2,aut_77.pkl,0.7742499709129333
2,aut_78.pkl,0.7432500123977661
2,aut_79.pkl,0.9912499785423279
2,aut_8.pkl,0.996749997138977
2,aut_80.pkl,0.7390000224113464
2,aut_81.pkl,0.8080000281333923
2,aut_82.pkl,0.8650000095367432
2,aut_83.pkl,0.9872499704360962
2,aut_84.pkl,0.996999979019165
2,aut_85.pkl,0.9952499866485596
2,aut_86.pkl,0.8262500166893005
2,aut_87.pkl,0.9877499938011169
2,aut_88.pkl,0.9927499890327454
2,aut_89.pkl,0.9965000152587891
2,aut_9.pkl,0.7317500114440918
2,aut_90.pkl,0.7354999780654907
2,aut_91.pkl,0.7315000295639038
2,aut_92.pkl,0.734749972820282
2,aut_93.pkl,0.7477499842643738
2,aut_94.pkl,0.9777500033378601
2,aut_95.pkl,0.9932500123977661
2,aut_96.pkl,0.7867500185966492
2,aut_97.pkl,0.9607499837875366
2,aut_98.pkl,0.734000027179718
2,aut_99.pkl,0.9810000061988831
3,aut_1.pkl,0.90625
3,aut_10.pkl,0.8330000042915344
3,aut_100.pkl,0.890250027179718
3,aut_11.pkl,0.7149999737739563
3,aut_12.pkl,0.7799999713897705
3,aut_13.pkl,0.7599999904632568
3,aut_14.pkl,0.8302500247955322
3,aut_15.pkl,0.7407500147819519
3,aut_16.pkl,0.7957500219345093
3,aut_17.pkl,0.7567499876022339
3,aut_18.pkl,0.6884999871253967
3,aut_19.pkl,0.6965000033378601
3,aut_2.pkl,0.9972500205039978
3,aut_20.pkl,0.953000009059906
3,aut_21.pkl,0.6697499752044678
3,aut_22.pkl,0.8335000276565552
3,aut_23.pkl,0.715499997138977
3,aut_24.pkl,0.7377499938011169
3,aut_25.pkl,0.7352499961853027
