Size,Automata Name,Accuracy
1,aut_69.pkl,0.9832500219345093
1,aut_41.pkl,0.9920000433921814
1,aut_55.pkl,0.9980000257492065
1,aut_82.pkl,0.9985000491142273
1,aut_96.pkl,0.9982500672340393
1,aut_97.pkl,0.9977500438690186
1,aut_83.pkl,0.9977500438690186
1,aut_54.pkl,0.9982500672340393
1,aut_40.pkl,0.999500036239624
1,aut_68.pkl,0.999000072479248
1,aut_100.pkl,0.9985000491142273
1,aut_56.pkl,0.9980000257492065
1,aut_42.pkl,0.9972500205039978
1,aut_95.pkl,0.9972500205039978
1,aut_81.pkl,0.9982500672340393
1,aut_80.pkl,0.9982500672340393
1,aut_94.pkl,0.999250054359436
1,aut_43.pkl,0.9985000491142273
1,aut_57.pkl,0.9970000386238098
1,aut_53.pkl,0.999500036239624
1,aut_47.pkl,0.999500036239624
1,aut_90.pkl,0.9975000619888306
1,aut_84.pkl,0.9987500309944153
1,aut_85.pkl,0.9987500309944153
1,aut_91.pkl,0.9967500567436218
1,aut_46.pkl,0.9980000257492065
1,aut_52.pkl,0.9987500309944153
1,aut_44.pkl,0.9970000386238098
1,aut_50.pkl,0.9982500672340393
1,aut_8.pkl,0.9977500438690186
1,aut_78.pkl,0.9957500696182251
1,aut_87.pkl,0.9970000386238098
1,aut_93.pkl,0.9970000386238098
1,aut_92.pkl,0.9987500309944153
1,aut_86.pkl,0.9980000257492065
1,aut_79.pkl,0.9975000619888306
1,aut_51.pkl,0.9985000491142273
1,aut_9.pkl,0.999250054359436
1,aut_45.pkl,0.9962500333786011
1,aut_22.pkl,0.9967500567436218
1,aut_36.pkl,0.9940000176429749
1,aut_37.pkl,0.9955000281333923
1,aut_23.pkl,0.9987500309944153
1,aut_35.pkl,0.9977500438690186
1,aut_21.pkl,0.9985000491142273
1,aut_20.pkl,0.9980000257492065
1,aut_34.pkl,0.9987500309944153
1,aut_30.pkl,0.999250054359436
1,aut_24.pkl,0.9982500672340393
1,aut_18.pkl,0.9987500309944153
1,aut_19.pkl,0.999250054359436
1,aut_25.pkl,0.9950000643730164
1,aut_31.pkl,0.999250054359436
1,aut_27.pkl,0.999500036239624
1,aut_33.pkl,0.9955000281333923
1,aut_32.pkl,0.9957500696182251
1,aut_26.pkl,0.9982500672340393
